Species,APOB,BDNF,BRCA1,GHR,RAG1,RAG2,ATP6,ATP8,COX1,COX2,COX3,CYTB,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,12S_rRNA,16S_rRNA
Myosorex_kihaulei,GU473482,JQ433919,,,JQ433896,,OP846383,OP846394,OP855695,OP846403,OP846416,JQ433902,,AY691839,,OP853578,,OP853565,OP846372,AY691822,OP857507
Nectogale_elegans,GU981129,ON161124,GU981204,ON161064,,ON160984,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351,NC_023351
Neohylomys_hainanensis,,,PQ062353,PQ062336,,,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379,MW429379
Neomys_fodiens,DQ630177,LC124904,DQ630246,,,KY082644,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559,NC_025559
Neotetracus_sinensis,KC516842,,KF783086,KF783115,KF783055,,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626,NC_019626
Nesophontes_paramicrus,Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),,Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016),Brace et al. (2016)
Neurotrichus_gibbsii,KX755160,KX754649,KX754528,KX755057,KX754559,KX754588,,,MZ150484,,MZ217184,KX754469,,,,,,,,KX754493,
Notiosorex_crawfordi,LC124844,LC124905,LC124938,,LC124967,,,,MN061469,,MK965957,AY611573,,,,,,,,,DQ630353
Paraechinus_aethiopicus,KY558574,AY986748,KY558568,KF783109,MK510410,,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,OP654725,KX959466,
Parascalops_breweri,KX755167,AY986753,KX754529,KX755064,KX754560,,,,,,,AB076808,,AF434834,,,,,,KX754496,
Parascaptor_leucura,KX755162,HG737985,HG737910,KX755063,HG737926,HG737944,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332,NC_056332
Podogymnura_truei,JN414025,JN633375,JN414177,JN414740,JN633620,JN633319,,,,,,OP846583,,AF434829,,,,,,AF434823,
Scalopus_aquaticus,KX755169,KX754652,AF284007,KX755066,KX754562,KX754591,,,HM902768,,MZ217186,KX754471,,AY170059,,,,,,AF069539,AF069539
